timestamp(ms),C1 (pF),C2 (pF),C1-C2 (pF),Distance d ,ration des c ,ration des  eps,écart ,Distance d2 ,
"1781523043.436",,,,"6.645143032073975",,,,,
"1781523043.441",,,,,"6.953948","4.894511",,,
"1781523043.443",,,,,,,"-0.645143","6.576492",
"1781523043.477","1.059","0.153","0.906",,,,,,
"1781523043.482",,,,"6.69112491607666",,,,,
"1781523043.488",,,,,"6.921569","4.894511",,,
"1781523043.49",,,,,,,"-0.691125","6.612452",
"1781523043.523","1.058","0.153","0.905",,,,,,
"1781523043.529",,,,"6.7005743980407715",,,,,
"1781523043.534",,,,,"6.915032",,,,
"1781523043.535",,,,,,"4.894511","-0.700574",,
"1781523043.537",,,,,,,,"6.619759",
"1781523043.57","1.057","0.152","0.905",,,,,,
"1781523043.576",,,,"6.645143032073975",,,,,
"1781523043.581",,,,,"6.953948","4.894511",,,
"1781523043.584",,,,,,,"-0.645143","6.576492",
"1781523043.618","1.059","0.153","0.906",,,,,,
"1781523043.623",,,,"6.69112491607666",,,,,
"1781523043.629",,,,,"6.921569","4.894511","-0.691125",,
"1781523043.631",,,,,,,,"6.612452",
"1781523043.665","1.059","0.154","0.905",,,,,,
"1781523043.67",,,,"6.757269382476807",,,,,
"1781523043.676",,,,,"6.876624","4.894511","-0.757269",,
"1781523043.678",,,,,,,,"6.663025",
"1781523043.712","1.058","0.152","0.906",,,,,,
"1781523043.717",,,,"6.6359639167785645",,,,,
"1781523043.723",,,,,"6.960526","4.894511","-0.635964",,
"1781523043.725",,,,,,,,"6.569233",
"1781523043.759","1.058","0.152","0.906",,,,,,
"1781523043.765",,,,"6.6359639167785645",,,,,
"1781523043.77",,,,,"6.960526","4.894511",,,
"1781523043.772",,,,,,,"-0.635964","6.569233",
"1781523043.806","1.058","0.154","0.904",,,,,,
"1781523043.812",,,,"6.767059326171875",,,,,
"1781523043.817",,,,,"6.87013","4.894511","-0.767059",,
"1781523043.819",,,,,,,,"6.670396",
"1781523043.853","1.058","0.152","0.906",,,,,,
"1781523043.858",,,,"6.6359639167785645",,,,,
"1781523043.864",,,,,"6.960526","4.894511",,,
"1781523043.866",,,,,,,"-0.635964","6.569233",
"1781523043.9","1.058","0.153","0.905",,,,,,
"1781523043.905",,,,"6.7005743980407715",,,,,
"1781523043.911",,,,,"6.915032","4.894511","-0.700574",,
"1781523043.913",,,,,,,,"6.619759",
"1781523043.947","1.058","0.152","0.906",,,,,,
"1781523043.952",,,,"6.6359639167785645",,,,,
"1781523043.958",,,,,"6.960526","4.894511","-0.635964",,
"1781523043.96",,,,,,,,"6.569233",
"1781523043.994","1.059","0.154","0.905",,,,,,
"1781523044",,,,"6.757269382476807",,,,,
"1781523044.005",,,,,"6.876624","4.894511",,,
"1781523044.007",,,,,,,"-0.757269","6.663025",
"1781523044.041","1.059","0.153","0.906",,,,,,
"1781523044.046",,,,"6.69112491607666",,,,,
"1781523044.051",,,,,"6.921569",,,,
"1781523044.052",,,,,,"4.894511",,,
"1781523044.054",,,,,,,"-0.691125","6.612452",
"1781523044.088","1.059","0.153","0.906",,,,,,
"1781523044.093",,,,"6.69112491607666",,,,,
"1781523044.098",,,,,"6.921569",,,,
"1781523044.099",,,,,,"4.894511","-0.691125",,
"1781523044.101",,,,,,,,"6.612452",
"1781523044.135","1.058","0.152","0.906",,,,,,
"1781523044.14",,,,"6.6359639167785645",,,,,
"1781523044.146",,,,,"6.960526","4.894511",,,
"1781523044.148",,,,,,,"-0.635964","6.569233",
"1781523044.181","1.058",,,,,,,,
"1781523044.182",,"0.152","0.906",,,,,,
"1781523044.187",,,,"6.6359639167785645",,,,,
"1781523044.193",,,,,"6.960526","4.894511","-0.635964",,
"1781523044.195",,,,,,,,"6.569233",
"1781523044.229","1.057","0.152","0.905",,,,,,
"1781523044.234",,,,"6.645143032073975",,,,,
"1781523044.24",,,,,"6.953948","4.894511",,,
"1781523044.242",,,,,,,"-0.645143","6.576492",
"1781523044.276","1.059","0.153","0.906",,,,,,
"1781523044.282",,,,"6.69112491607666",,,,,
"1781523044.287",,,,,"6.921569","4.894511","-0.691125",,
"1781523044.289",,,,,,,,"6.612452",
"1781523044.323","1.059","0.152","0.907",,,,,,
"1781523044.328",,,,"6.626835823059082",,,,,
"1781523044.334",,,,,"6.967105","4.894511","-0.626836",,
